doi,location,geocode,latitude,longitude
10.1007/978-981-10-8114-9_5,the Pacific Ocean,"The Beach House Restaurant at Lovers Point, Ocean View Boulevard, Pacific Grove Acres, Pacific Grove, Monterey County, California, 93950-2424, United States",36.6254702,-121.9169366
10.1016/j.rse.2017.11.020,Mediterranean,"Mediterranean, İskele, Kuzey Kıbrıs Türk Cumhuriyeti, Κύπρος - Kıbrıs",35.25570135,33.90401195
10.3390/rs5104942,Virginia,"Virginia, United States",37.1232245,-78.4927721
10.1175/JCLI-D-16-0609.1,Earth,"Earth, Lamb County, Texas, United States",34.2331373,-102.4107493
10.3390/geosciences8020055,Morocco,Maroc / ⵍⵎⵖⵔⵉⴱ / المغرب,31.1728205,-7.3362482
10.3390/rs70911586,Northeastern China,"东北大学, 创新路, 南湖街道, 和平区, 沈阳市, 辽宁省, 110004, 中国",41.7634632,123.4117577
10.5194/bg-12-3369-2015,Europe,أوروبا,51,10
10.1007/s00382-020-05188-4,Saharan,"Saharan, Mansa Tahsil, Mansa, Punjab, 151503, India",29.8956478,75.4298114
10.3390/rs10111777,Italy,Italia,42.6384261,12.674297
10.1002/2016JD025482,Arctic,"Arctic, Town of Masonville, Delaware County, New York, United States",42.1856379,-75.4143448
10.1016/j.apgeog.2017.12.006,Africa,Africa,11.5024338,17.7578122
10.3390/rs11111344,Asia,Asia,51.2086975,89.2343748
10.1016/j.jag.2014.03.024,Africa,Africa,11.5024338,17.7578122
10.1029/2011JG001930,South,대한민국,36.638392,127.6961188
10.1016/j.quaint.2012.09.011,North America,North America,51.0000002,-109
10.1002/2016GB005546,Southeast Asia,"Asia, Riemannstraße, Zentrum-Südost, Mitte, Leipzig, Sachsen, Deutschland",51.3305381,12.3786243
10.1002/2015JG003169,Earth,"Earth, Lamb County, Texas, United States",34.2331373,-102.4107493
10.1038/s41598-017-05373-2,South America,South America,-21.0002179,-61.0006565
10.1016/j.jsames.2017.02.011,Central America,"Central America, Creek Walk, Coffs Harbour, Coffs Harbour City Council, New South Wales, 2450, Australia",-30.29284845,153.1256159
10.1002/2016JD026267,Arizona,"Arizona, United States",34.395342,-111.763275
10.1080/01431161.2017.1395965,Greece,Ελλάς,38.9953683,21.9877132
10.3390/rs9111193,California,"California, United States",36.7014631,-118.755997
10.1016/j.proenv.2012.01.194,Tibet Plateau,"Tibetan Plateau, 尼玛镇, ཉི་མ་རྫོང་ 尼玛县, 那曲市, 西藏自治区, 中国",31.85,87.4
10.1016/j.scitotenv.2014.09.025,West Asia Region,"West Lane Drive, Sampaloc Lower, Pasong Tamo, 6th District, Quezon City, Eastern Manila District, Metro Manila, 1107, Philippines",14.6786893,121.0467347
10.1016/j.pocean.2009.02.001,Mediterranean,"Mediterranean, İskele, Kuzey Kıbrıs Türk Cumhuriyeti, Κύπρος - Kıbrıs",35.25570135,33.90401195
10.1021/es502134t,the North Atlantic,"Michael S. Dukakis South Station Transportation Center, 700, Atlantic Avenue, Leather District, Downtown Boston, Boston, Suffolk County, Massachusetts, 02210, United States",42.3518392,-71.05502541
10.4995/raet.2017.7182,De Santis,"De Santis, Case Mareggio, Spoleto, Perugia, Umbria, 06049, Italia",42.8236024,12.74796839
10.1016/j.geothermics.2018.12.014,Tuzla,"Tuzla, Grad Tuzla, Tuzlanski kanton, Federacija Bosne i Hercegovine, 75000, Bosna i Hercegovina / Босна и Херцеговина",44.5391105,18.675193
10.1029/2005JD006237,Asia,Asia,51.2086975,89.2343748
10.1002/2016JG003384,Earth,"Earth, Lamb County, Texas, United States",34.2331373,-102.4107493
10.1016/j.pce.2015.01.006,South Bihar,"South Gandhi Maidan Marg, Patna, Patna Rural, Patna, Bihar, 800001, India",25.6151053,85.1456278
10.5589/m04-037,Oklahoma,"Oklahoma, United States",34.9550817,-97.2684063
10.1002/2016GL068191,Asia,Asia,51.2086975,89.2343748
10.1007/s00382-019-04638-y,Central America,"Central America, Creek Walk, Coffs Harbour, Coffs Harbour City Council, New South Wales, 2450, Australia",-30.29284845,153.1256159
10.1007/s11707-015-0541-4,Indian Ocean,Indian Ocean,-9.9999999,69.9999999
10.1016/j.jag.2014.06.002,Earth,"Earth, Lamb County, Texas, United States",34.2331373,-102.4107493
10.5194/bg-13-2123-2016,Arctic,"Arctic, Town of Masonville, Delaware County, New York, United States",42.1856379,-75.4143448
10.1016/j.catena.2018.11.017,China,中国,35.000074,104.999927
10.1371/journal.pone.0147285,Australia,Australia,-24.7761086,134.755
10.1038/s41598-019-54052-x,Tibet-Himalaya,"Himalaya Kailash hotel, 冈仁波齐转山, Trungto, 巴噶乡, རྩ་མདའ་རྫོང་ 普兰县, 阿里地区-日喀则市边界, 西藏自治区, 中国",30.9701651,81.2865982
10.1016/j.oregeorev.2017.04.016,Oman,عمان,21.0000287,57.0036901
10.5194/bg-8-2493-2011,Africa,Africa,11.5024338,17.7578122
10.1038/s41598-019-38971-3,US,United States,39.7837304,-100.445882
10.1016/j.aeolia.2016.12.004,the Middle East,"ZuZu, 474, Massachusetts Avenue, Central Square, Cambridgeport, Cambridge, Middlesex County, Massachusetts, 02139, United States",42.3638002,-71.1013814
10.1002/2017GL074532,Colorado,"Colorado, United States",38.7251776,-105.607716
10.1021/es5021422,India,India,22.3511148,78.6677428
10.1590/S0100-06832014000500002,Relevo,"Relevo, São Félix do Araguaia, Região Geográfica Imediata de Confresa - Vila Rica, Região Geográfica Intermediária de Barra do Garças, Mato Grosso, Região Centro-Oeste, Brasil",-11.60672,-51.345262
10.1080/01431161.2014.885666,the Central Kalahari,"Kalahari Road, Kawempe, Kampala Capital City, Kampala, Central Region, 7051, Uganda",0.3704623,32.5607523
10.1016/j.polar.2016.06.006,Arctic,"Arctic, Town of Masonville, Delaware County, New York, United States",42.1856379,-75.4143448
10.1016/j.rse.2018.11.029,North and South Carolina,"Rainbow Row (north end), Elliot Street, Charleston Old and Historic District, Charleston, Charleston County, South Carolina, 29415, United States",32.7762282,-79.9271927
10.1016/j.aeolia.2017.12.001,New Mexico,"New Mexico, United States",34.5708167,-105.993007
10.1186/s40317-018-0146-2,Atlantic,"Atlantic, Cass County, Iowa, 50022, United States",41.4036007,-95.0138776
10.1111/1365-2745.12652,Europe,أوروبا,51,10
10.1007/s11069-015-1792-9,Mediterranean,"Mediterranean, İskele, Kuzey Kıbrıs Türk Cumhuriyeti, Κύπρος - Kıbrıs",35.25570135,33.90401195
10.3389/feart.2015.00032,Indonesia,Indonesia,-2.4833826,117.8902853
10.1021/acs.est.7b04385,Tioughnioga River,"Tioughnioga River, Cortland, Cortlandville Town, Cortland County, New York, 13738, United States",42.410456,-76.0208555
10.1080/17538947.2018.1458163,Cameroon,Cameroun,4.6125522,13.1535811
10.5194/bg-15-1701-2018,the North Atlantic,"Michael S. Dukakis South Station Transportation Center, 700, Atlantic Avenue, Leather District, Downtown Boston, Boston, Suffolk County, Massachusetts, 02210, United States",42.3518392,-71.05502541
10.1080/22797254.2017.1350558,Adriatic Sea,Jadransko more / Mare Adriatico / Deti Adriatik,42.7735486,15.233361
10.1038/s41586-019-1474-y,the Northwest Territories,"The Twisted Mountain, Dehcho Region, Northwest Territories, Canada",61.2091754,-123.6099644
10.1117/12.2073949,Southwest,"Southwest, Cameroun",5.0577606,9.2289407
10.1002/2015JC010955,the North Atlantic,"Michael S. Dukakis South Station Transportation Center, 700, Atlantic Avenue, Leather District, Downtown Boston, Boston, Suffolk County, Massachusetts, 02210, United States",42.3518392,-71.05502541
10.1016/j.gloplacha.2004.09.012,China,中国,35.000074,104.999927
10.1016/j.rse.2019.02.011,Abstract River,"Runkel Abstract & Title, 522, Scott Street, River District, Wausau, Marathon County, Wisconsin, 54403, United States",44.960635,-89.6243025
10.3390/rs9090929,MODIS,"Modis, Носовихинское шоссе, район Новокосино, Реутов, Москва, Центральный федеральный округ, 111672, Россия",55.7455236,37.8600478
10.1029/2012JD017553,United States,United States,39.7837304,-100.445882
10.3390/geosciences9080360,Himalayas,"Himalayas, Khumjung, Khumbupasanglahmu, सोलुखुम्बु, Province #1, नेपाल",27.985688,86.9163367
10.1080/1747423X.2017.1413433,the United States,"The Summit, Guadalupe County, Texas, United States",29.6330078,-97.98859404
10.1029/2004JG000004,the United States,"The Summit, Guadalupe County, Texas, United States",29.6330078,-97.98859404
10.1016/j.rse.2015.04.021,the Midwestern United States,"Midwestern Parkway East, Wichita Falls, Wichita County, Texas, 76302, United States",33.876006,-98.476058
10.1038/nature23021,Earth,"Earth, Lamb County, Texas, United States",34.2331373,-102.4107493
10.1002/2016WR019392,Zr,"صور, قضاء صور, محافظة الجنوب, 1601, لبنان",33.2721211,35.1964023
10.1002/hyp.9661,Columbia River,"Columbia River, 99157, United States",48.1456511,-119.1512797
10.1016/j.agrformet.2006.03.019,Canada,Canada,61.0666922,-107.991707
10.1038/s41598-018-32779-3,Midwest,"Midwest, Natrona County, Wyoming, 82643, United States",43.411391,-106.280075
10.1002/2014JC009836,the Congo River,"Congo Place, Southern River, City Of Gosnells, Western Australia, 6110, Australia",-32.0923249,115.9565131
10.3390/rs70201181,MARS,"Mars, Tournon-sur-Rhône, Ardèche, Auvergne-Rhône-Alpes, France métropolitaine, 07320, France",45.00873155,4.328378136
10.1016/j.geoderma.2016.05.015,United States,United States,39.7837304,-100.445882
10.1016/j.rse.2005.08.001,Kansas,"Kansas, United States",38.27312,-98.5821872
10.1016/j.geoderma.2019.114035,East China,"East China, Broadview Road, Parma, Cuyahoga County, Ohio, 44134, United States",41.4186925,-81.695415
10.1016/j.rsase.2019.100286,Earth,"Earth, Lamb County, Texas, United States",34.2331373,-102.4107493
10.1002/2016MS000764,W,"Dalarnas län, Sverige",61.06037785,14.21508732
10.1029/2009GB003521,Earth,"Earth, Lamb County, Texas, United States",34.2331373,-102.4107493
10.1002/2017JD027516,the South China Sea,"South China Sea, Tuba, Benguet, Cordillera Administrative Region, 2603, Philippines",16.3818126,120.5656448
10.1016/j.apgeog.2009.11.003,Italy,Italia,42.6384261,12.674297
10.1007/s12665-018-7851-2,the Red River,"Red River, Municipality of the County of Inverness, Inverness County, Nova Scotia, Canada",46.8470506,-60.7666832
10.1080/01431161.2019.1667552,Earth,"Earth, Lamb County, Texas, United States",34.2331373,-102.4107493
10.1371/journal.pone.0182599,Pacific,"Pacific, King County, Washington, United States",47.2640129,-122.2485492
10.1016/j.rse.2016.10.048,Sweden,Sverige,59.6749712,14.5208584
10.1016/j.jhydrol.2018.02.005,Delta,"Delta County, Texas, United States",33.3926893,-95.6749486
10.1007/s40333-019-0067-9,China,中国,35.000074,104.999927
10.1175/JCLI-D-12-00571.1,Earth,"Earth, Lamb County, Texas, United States",34.2331373,-102.4107493
10.1038/srep26886,Asia,Asia,51.2086975,89.2343748
10.1016/j.catena.2019.104182,Shaanxi Province,"陕西省, 中国",35.8894105,109.1357285
10.5194/bg-17-405-2020,California,"California, United States",36.7014631,-118.755997
10.1007/s00382-014-2397-9,North America,North America,51.0000002,-109
10.1016/j.jag.2019.05.012,Australia,Australia,-24.7761086,134.755
10.1016/j.geothermics.2019.01.006,Japan,日本,36.5748441,139.2394179
10.3390/rs71215826,Bole,"博乐市, 博尔塔拉蒙古自治州, 新疆维吾尔自治区, 中国",44.852888,82.0520916
10.1002/joc.4819,Chicago,"Chicago, Cook County, Illinois, United States",41.8755616,-87.6244212
10.1002/2017EF000539,East Africa,"East Africa, 5893, Rue Sherbrooke Ouest, Côte-Saint-Antoine, Côte-des-Neiges–Notre-Dame-de-Grâce, Montréal, Agglomération de Montréal, Montréal (06), Québec, H4A 1X6, Canada",45.4690945,-73.6189681
10.1002/joc.4128,albedo,"Albedo, Koninklijke Baan, Bredene-Bad, Bredene, Oostende, West-Vlaanderen, Vlaanderen, 8450, België / Belgique / Belgien",51.25648525,2.980068358
10.1016/j.rse.2017.07.005,China,中国,35.000074,104.999927
10.1007/s11629-017-4746-8,Southeast Asia,"Asia, Riemannstraße, Zentrum-Südost, Mitte, Leipzig, Sachsen, Deutschland",51.3305381,12.3786243
10.1175/JCLI-D-16-0776.1,Atlantic,"Atlantic, Cass County, Iowa, 50022, United States",41.4036007,-95.0138776
10.1155/2015/861928,River Basin,"River Basin, East River, Chester District Municipality, Lunenburg County, Nova Scotia, Canada",44.585423,-64.16858091
10.3390/rs70912563,Australia,Australia,-24.7761086,134.755
10.1016/j.oregeorev.2015.10.033,quartz,"Quartz, Tuolumne County, California, 95327, United States",37.9279813,-120.4207506
10.1029/2008JD011392,North America,North America,51.0000002,-109
10.1016/j.rse.2013.10.034,Northeast,"Đông Bắc, Việt Nam",21.91253095,106.038266
10.1002/2014JC010114,Pacific,"Pacific, King County, Washington, United States",47.2640129,-122.2485492
10.1175/JCLI-D-19-0096.1,North America,North America,51.0000002,-109
10.2478/johh-2013-0006,Al,"Alabama, United States",33.2588817,-86.8295337
10.1016/j.ocecoaman.2015.06.019,Trabzon,"Trabzon, Kemerkaya Mahallesi, Ortahisar, Trabzon, Karadeniz Bölgesi, 61110, Türkiye",41.0062202,39.7257547
10.1002/2016JC012063,the Northern Gulf,"The Four Archers, Roper Gulf Region, Northern Territory, Australia",-15.46179,135.41975
10.1016/j.jasrep.2019.102115,Tanzania,Tanzania,-6.5247123,35.7878438
10.1080/1747423X.2017.1280550,Guinea,Guinée,10.7226226,-10.7083587
10.1002/2014JG002666,Jonsson,"Jonsson, Moremi III Rd, Maun, North-West District, P.O. BOX 217, Botswana",-19.98917295,23.41627967
10.1175/JCLI-D-17-0403.1,the North Atlantic Ocean,"The Minch - A' Mhaoil, Scotland, United Kingdom",58.0543113,-5.917267188
10.1002/2017GL073740,Sahara,"Sehore, Madhya Pradesh, India",23.1156882,77.06623939
10.1175/JCLI-D-16-0838.1,Caribbean,"Caribbean, Ayiti",18.4,-75
10.5194/nhess-16-1011-2016,US,United States,39.7837304,-100.445882
10.1016/j.jhydrol.2017.05.015,Australia,Australia,-24.7761086,134.755
10.1002/2017JD027556,Arctic,"Arctic, Town of Masonville, Delaware County, New York, United States",42.1856379,-75.4143448
10.3390/geosciences8110419,NE,中国,35.000074,104.999927
10.1088/1748-9326/10/12/124010,Antarctica,Antarctica,-79.4063075,0.3149312
10.1029/2008JD010195,Sahara,"Sehore, Madhya Pradesh, India",23.1156882,77.06623939
10.1080/10106049.2016.1206626,ROC,"Greater Rochester International Airport, Brooks Avenue, Gates, Monroe County, New York, 14624, United States",43.1161699,-77.67269339
10.1007/s13351-014-4023-5,Yellow River,"Yellow River, Alabama, 32546, United States",30.9087685,-86.5630661
10.1038/s41598-018-38089-y,North America,North America,51.0000002,-109
10.1175/JPO-D-17-0192.1,the Southern Ocean,"ocean, Παπαβασιλείου, Νάξος, Δήμος Νάξου και Μικρών Κυκλάδων, Περιφερειακή Ενότητα Νάξου, Περιφέρεια Νοτίου Αιγαίου, Αποκεντρωμένη Διοίκηση Αιγαίου, 84300, Ελλάς",37.1034349,25.3748431
10.1016/j.rse.2006.03.009,Africa,Africa,11.5024338,17.7578122
10.1002/ppp.485,Arctic,"Arctic, Town of Masonville, Delaware County, New York, United States",42.1856379,-75.4143448
10.1002/2016GL070710,Multi,"Multi, Pio XII, Chimbacalle, Quito, Pichincha, 170121, Ecuador",-0.2428667,-78.5099157
10.1007/s10872-019-00521-w,Japan,日本,36.5748441,139.2394179
10.15446/esrj.v23n4.71706,Manabi,"Manabí, Ecuador",-0.7588025,-80.0612131
10.1016/j.ecss.2016.07.002,Tokyo Bay,"Tokyo Bay, Kasarvadavli, Pachwad, Thane, Mumbai Metropolitan Region, Thane, Maharashtra, India",19.26093085,72.95776079
10.1659/MRD-JOURNAL-D-16-00024R.1,Pacific Northwest,"Pacific, 83/3, Mírové náměstí, Mariánské Lázně, okres Cheb, Karlovarský kraj, Severozápad, 35301, Česko",49.978238,12.7033364
10.1002/2017GL073454,Earth,"Earth, Lamb County, Texas, United States",34.2331373,-102.4107493
10.1016/j.jhydrol.2018.12.004,Iran,ایران,32.6475314,54.5643516
10.3390/rs71215806,MODIS,"Modis, Носовихинское шоссе, район Новокосино, Реутов, Москва, Центральный федеральный округ, 111672, Россия",55.7455236,37.8600478
10.3390/rs70810117,New Zealand,New Zealand / Aotearoa,-41.5000831,172.8344077
10.3390/rs11141639,China,中国,35.000074,104.999927
10.4401/ag-7793,Mediterranean Sea,Mediterranean Sea,35.0000035,19.9999957
10.1109/Agro-Geoinformatics.2018.8476013,Northeast China,"东北, 哈尔滨市, 黑龙江省, 中国",46.4097992,127.6152447
10.1016/j.rse.2018.11.024,albedo,"Albedo, Koninklijke Baan, Bredene-Bad, Bredene, Oostende, West-Vlaanderen, Vlaanderen, 8450, België / Belgique / Belgien",51.25648525,2.980068358
10.1002/2014JF003095,Earth,"Earth, Lamb County, Texas, United States",34.2331373,-102.4107493
10.3390/rs70606784,Heihe River,"黑河, 庆城县, 庆阳市, 甘肃省, 中国",35.846793,107.4581677
10.1007/s12517-019-4718-0,Jurassic,"Jurassic, Mountain Village, San Miguel County, Colorado, 8145, United States",37.942474,-107.855526
10.1002/2017JC013184,Arctic,"Arctic, Town of Masonville, Delaware County, New York, United States",42.1856379,-75.4143448
10.1038/s41559-018-0714-0,Author(s,"Author, 171, Tartu mnt, Mõigu, Kesklinna linnaosa, Peetri alevik, Tallinn, Rae vald, Harju maakond, 10112, Eesti",59.4004129,24.8169048
10.1080/01431161.2015.1084437,Brazil,Brasil,-10.3333333,-53.2
10.1002/jgrg.20076,the North East,"Shoe Tree, The, Ouseburn Road, Cradlewell, Sandyford, Newcastle upon Tyne, Tyne and Wear, North East England, England, NE7 7DA, United Kingdom",54.9852113,-1.5866744
10.1038/s41598-018-34343-5,Atlantic,"Atlantic, Cass County, Iowa, 50022, United States",41.4036007,-95.0138776
10.3390/rs9111178,Mexico,México,23.553557,-102.2675158
10.5194/hess-15-453-2011,Priestley,"Priestley, Lincoln County, West Virginia, 25567, United States",38.2603739,-81.8367939
10.1016/j.rse.2013.11.014,Heihe,"黑河市, 花园街道办事处, 爱辉区, 黑河市, 黑龙江省, 中国",50.2377974,127.5132223
10.1088/1748-9326/10/9/094008,ET,ኢትዮጵያ,10.2116702,38.6521203
10.3390/rs8070596,South America,South America,-21.0002179,-61.0006565
10.3390/rs8010010,China,中国,35.000074,104.999927
10.1175/1520-0442(2001)014<0900:IOATWI>2.0.CO;2,U.S.,"Unterer See, Bahnhof, Böblingen (Stadt), Böblingen, Landkreis Böblingen, Baden-Württemberg, 71032, Deutschland",48.6840674,9.009582476
10.1175/JHM-D-17-0056.1,United States,United States,39.7837304,-100.445882
10.1111/sed.12372,The Amazon River,"River Afan, Aberavon, Port Talbot, Neath Port Talbot, Cymru / Wales, SA12 6NP, United Kingdom",51.5863849,-3.7987422
10.1016/j.jafrearsci.2020.103751,Nile,"Nile, Chhaikampar, Chum Nubri, गोरखा, Gandaki Pradesh, नेपाल",28.5436936,85.1055343
10.3390/rs10030460,Australia,Australia,-24.7761086,134.755
10.3390/w10030274,the west coast,"The West Coast, River Valley Walterdale, Greater Strathcona, Edmonton, Edmonton (city), Alberta, T5K 0V4, Canada",53.5276434,-113.4868705
10.1007/s12524-018-0912-x,China,中国,35.000074,104.999927
10.1016/j.jag.2019.06.006,Taiwan,臺灣,23.9739374,120.9820179
10.1080/01431160412331291251,Africa,Africa,11.5024338,17.7578122
10.1016/j.rse.2019.05.010,Baltimore,"Baltimore, Maryland, 21203, United States",39.2908816,-76.610759
10.1029/2019GL082635,the East Coast,"Coast, 26-28, Bridlesmith Gate, Lace Market, The Meadows, City of Nottingham, East Midlands, England, NG1 2GR, United Kingdom",52.9525443,-1.1473761
10.1080/19475705.2013.845114,Amaravati,"Amaravati, Thullur, Guntur, Andhra Pradesh, India",16.5096679,80.5184535
10.1007/s12524-020-01103-w,Africa,Africa,11.5024338,17.7578122
10.1007/978-3-030-21344-2_11,Iraq,العراق,33.0955793,44.1749775
10.1016/j.rse.2017.09.005,South America,South America,-21.0002179,-61.0006565
10.5194/bg-11-4271-2014,Arctic,"Arctic, Town of Masonville, Delaware County, New York, United States",42.1856379,-75.4143448
10.1016/j.jag.2018.10.011,Africa,Africa,11.5024338,17.7578122
10.3390/rs11202368,North Atlantic,"North Atlantic, 230, Route 230, Bonavista, Newfoundland, Newfoundland and Labrador, A0C 1B0, Canada",48.64154835,-53.10331969
10.5194/hess-23-3969-2019,Himalayas,"Himalayas, Khumjung, Khumbupasanglahmu, सोलुखुम्बु, Province #1, नेपाल",27.985688,86.9163367
10.1109/JURSE.2019.8808951,Greece,Ελλάς,38.9953683,21.9877132
10.1080/00288330.2014.924972,Indian Ocean,Indian Ocean,-9.9999999,69.9999999
10.3390/rs11070795,Mediterranean,"Mediterranean, İskele, Kuzey Kıbrıs Türk Cumhuriyeti, Κύπρος - Kıbrıs",35.25570135,33.90401195
10.1038/s41598-020-59494-2,Midwest,"Midwest, Natrona County, Wyoming, 82643, United States",43.411391,-106.280075
10.1007/s11442-018-1494-9,Northeast China,"东北, 哈尔滨市, 黑龙江省, 中国",46.4097992,127.6152447
10.1016/j.rse.2017.09.026,USA,United States,39.7837304,-100.445882
10.1038/s41598-017-10665-8,China,中国,35.000074,104.999927
10.1016/j.rse.2017.01.002,Zambia,Zambia,-14.5189121,27.5589884
10.1007/s11442-015-1217-4,Africa,Africa,11.5024338,17.7578122
10.5194/essd-11-797-2019,HySN,"Altes Museum, Am Lustgarten, Spandauer Vorstadt, Mitte, Berlin, 10178, Deutschland",52.51945545,13.39878729
10.1016/j.rse.2014.03.012,MODIS,"Modis, Носовихинское шоссе, район Новокосино, Реутов, Москва, Центральный федеральный округ, 111672, Россия",55.7455236,37.8600478
10.1002/2017JD027268,China,中国,35.000074,104.999927
10.1080/01431161.2014.890303,Lancang River,"小黑江, 临沧市, 澜沧拉祜族自治县, 普洱市, 云南省, 665000, 中国",23.2457527,99.9455345
10.3189/2015JoG14J127,Ice,"Ice, Alger County, Michigan, United States",46.4567258,-86.5895767
10.3390/rs6032108,Southeast Asia,"Asia, Riemannstraße, Zentrum-Südost, Mitte, Leipzig, Sachsen, Deutschland",51.3305381,12.3786243
10.1002/hyp.6616,Columbia River Basin,"Airplane Basin Falls, Area E (Chilliwack River Valley), Kent, British Columbia, Canada",49.1549801,-121.639075
10.1007/s12517-020-5227-x,the Eastern Desert,"Desert, Kilcor, The Municipal District of Fermoy, County Cork, Munster, Éire / Ireland",52.03587195,-8.22497471
10.3390/w11091913,the Nile Basin,"Table Rocks Bathing Pool, Whitley Bay, North Tyneside, North East England, England, United Kingdom",55.040565,-1.431380181
10.1016/j.rse.2013.07.012,MODIS,"Modis, Носовихинское шоссе, район Новокосино, Реутов, Москва, Центральный федеральный округ, 111672, Россия",55.7455236,37.8600478
10.1038/srep07406,China,中国,35.000074,104.999927
10.1038/s41598-018-20382-5,East Asia,"East Asia, Dapitan Street, Barangay 6, Zone 2, District 1, Pasay, Southern Manila District, Metro Manila, 1305, Philippines",14.5546203,120.9893544
10.3390/rs10010122,North America,North America,51.0000002,-109
10.1007/978-981-15-0630-7_7,Earth,"Earth, Lamb County, Texas, United States",34.2331373,-102.4107493
10.3390/rs70303250,China,中国,35.000074,104.999927
10.1016/j.catena.2018.09.046,SF,"San Francisco, City and County of San Francisco, California, 94102, United States",37.7790262,-122.419906
10.1080/10106049.2014.966159,the Western Desert,"The Monastery of Apollo at Bawit, طريق القاهرة, اسيوط الصحراوى الغربى, أسيوط, مصر",27.5443076,30.70129425
10.1038/ngeo2907,Canada,Canada,61.0666922,-107.991707
10.1038/srep14628,Asia,Asia,51.2086975,89.2343748
10.1016/j.dsr2.2014.03.007,the North Pacific,"University of the Pacific, 3601, North Pacific Avenue, Stockton, San Joaquin County, California, 95211, United States",37.98042375,-121.3128472
10.1002/joc.3748,North America,North America,51.0000002,-109
10.1016/j.rse.2017.05.003,Europe,أوروبا,51,10
10.1002/2015GL065564,Earth,"Earth, Lamb County, Texas, United States",34.2331373,-102.4107493
10.1016/j.jag.2014.11.011,MODIS,"Modis, Носовихинское шоссе, район Новокосино, Реутов, Москва, Центральный федеральный округ, 111672, Россия",55.7455236,37.8600478
10.1017/jog.2016.138,thinning,"Thinning Branch Circle, The Parks at Willow Ridge, Fort Worth, Tarrant County, Texas, 76052, United States",32.9388669,-97.3794549
10.1002/2014JC010128,Japan,日本,36.5748441,139.2394179
10.1016/j.jseaes.2019.01.009,Earth,"Earth, Lamb County, Texas, United States",34.2331373,-102.4107493
10.1017/S0021859614000215,Free State,"Free State, South Africa",-28.7853618,26.4978933
10.1016/j.crm.2017.09.004,Wyoming,"Wyoming, United States",43.1700264,-107.568534
10.1016/j.geoderma.2013.07.014,Mexico,México,23.553557,-102.2675158
10.1016/j.jhydrol.2015.09.050,China,中国,35.000074,104.999927
10.1016/j.rse.2019.111270,Indian Ocean,Indian Ocean,-9.9999999,69.9999999
10.3126/ije.v8i1.22546,Nepal,नेपाल,28.1083929,84.0917139
10.5194/essd-11-529-2019,Earth,"Earth, Lamb County, Texas, United States",34.2331373,-102.4107493
10.1080/07038992.2014.917581,the United States,"The Summit, Guadalupe County, Texas, United States",29.6330078,-97.98859404
10.1002/2014JC010602,Pacific Ocean,Pacific Ocean,-0.703107,-120.9375
10.1016/j.rse.2019.01.028,Mediterranean,"Mediterranean, İskele, Kuzey Kıbrıs Türk Cumhuriyeti, Κύπρος - Kıbrıs",35.25570135,33.90401195
10.3354/cr01024,Central Europe,"Central Europe, Muskogee County, Oklahoma, 74423, United States",35.670119,-95.167241
10.3390/ijgi8120537,Iran,ایران,32.6475314,54.5643516
10.3390/rs9020179,Andes,"Andes, Distrito Las Cuevas, Departamento Las Heras, Mendoza, Argentina",-32.6529485,-70.0118233
10.1016/j.jsames.2019.102304,Antarctica,Antarctica,-79.4063075,0.3149312
10.1016/j.rse.2015.08.031,Brazil,Brasil,-10.3333333,-53.2
10.5194/hess-21-923-2017,Central Valley,"Central Valley, San Joaquin County, California, 95201, United States",38,-121.4
10.1002/gbc.20027,Europe,أوروبا,51,10
10.1016/j.rse.2015.12.051,Iceland,Ísland,64.9841821,-18.1059013
10.1016/j.rse.2019.111628,Landsat,"Ossiacher See, Ossiach, Bezirk Feldkirchen, Kärnten, 9570, Österreich",46.67188385,13.96527783
10.1016/j.rse.2004.06.011,Mediterranean,"Mediterranean, İskele, Kuzey Kıbrıs Türk Cumhuriyeti, Κύπρος - Kıbrıs",35.25570135,33.90401195
10.1016/j.rse.2019.111295,Canada,Canada,61.0666922,-107.991707
10.1093/jme/tjw076,Mid-Atlantic,"Amnesty International USA, Mid-Atlantic, Pennsylvania Avenue Southeast, Capitol Hill, Washington, District of Columbia, 20003, United States",38.8857303,-76.9978869
10.2113/gseegeosci.20.1.67,Indus River,"Indus River (branch), سکھر, سندھ, پاکستان",27.6862738,68.849237
10.1007/s11442-013-1057-z,China,中国,35.000074,104.999927
10.3390/rs6021211,Landsat,"Ossiacher See, Ossiach, Bezirk Feldkirchen, Kärnten, 9570, Österreich",46.67188385,13.96527783
10.1002/2014EF000249,BECCS,"Uncle Beccs Cafe, LGF 3, National Highway 24 Bypass, Ghaziabad, Uttar Pradesh, 201016, India",28.629717,77.4352373
10.1002/2014JD021593,U.S.,"Unterer See, Bahnhof, Böblingen (Stadt), Böblingen, Landkreis Böblingen, Baden-Württemberg, 71032, Deutschland",48.6840674,9.009582476
10.1080/01431161.2013.871083,USA,United States,39.7837304,-100.445882
10.1002/2017WR020448,Asia,Asia,51.2086975,89.2343748
10.1007/s12665-016-6130-3,China,中国,35.000074,104.999927
10.1080/01431161.2016.1176269,Northeast China,"东北, 哈尔滨市, 黑龙江省, 中国",46.4097992,127.6152447
10.4102/jamba.v11i1.917,Africa,Africa,11.5024338,17.7578122
